"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000072958",2239.04534337653,1.10184715546394,0.123239426619802,8.94070335837553,3.86701134155529e-19,8.74117712953058e-17,"AP1M1"
"ENSG00000019995",2150.37632011757,0.983999268221181,0.111167111344814,8.85153222313252,8.63258413928625e-19,1.9226542174925e-16,"ZRANB1"
"ENSG00000012048",241.117643587367,-1.40352742335579,0.158893365112176,-8.83314053022239,1.01777025343104e-18,2.2339319548135e-16,"BRCA1"
"ENSG00000154734",29872.9878556811,2.18781090856898,0.248577138462817,8.80133596395166,1.35196948308028e-18,2.92508254589299e-16,"ADAMTS1"
"ENSG00000185432",3844.86229573871,2.27103730440435,0.259706998619894,8.7446134161684,2.23780498179874e-18,4.77345865483689e-16,"METTL7A"
"ENSG00000159884",556.366128273062,1.06266588913802,0.121870817148425,8.71960912384639,2.79163824975669e-18,5.87213351285626e-16,"CCDC107"
"ENSG00000163513",13345.3548115132,1.47090203979811,0.16875358437875,8.71627139188235,2.87513648441848e-18,5.96492356938601e-16,"TGFBR2"
"ENSG00000139132",1181.85578266924,2.05688309768939,0.236535588526638,8.69587156208315,3.44177591117543e-18,7.0440129965881e-16,"FGD4"
"ENSG00000196136",739.309178654879,3.1963074736077,0.37021074461241,8.63375123527023,5.93720463596328e-18,1.19891952282218e-15,"SERPINA3"
"ENSG00000172986",767.400836637411,-1.64194435320163,0.190239803292959,-8.63091910725501,6.08609169335616e-18,1.21281393020894e-15,"GXYLT2"
"ENSG00000183160",2936.72405730511,-1.17321055964282,0.136033880240443,-8.62439972725281,6.44297046117029e-18,1.26725698226525e-15,"TMEM119"
"ENSG00000103485",876.983547374098,-1.12050846314556,0.130413296362059,-8.59198022289658,8.54831054943613e-18,1.65979696501552e-15,"QPRT"
"ENSG00000173838",68.6105850526452,3.42349509217422,0.399943746316813,8.55994155103585,1.1292475687272e-17,2.1648676491612e-15,"MARCH10"
"ENSG00000169738",602.04981640171,1.96040513507749,0.230200228841999,8.51608682119529,1.65035124503371e-17,3.12432120075444e-15,"DCXR"
"ENSG00000197321",9110.11696451622,-0.699698198872933,0.0822321278235962,-8.50881787193834,1.75715593343123e-17,3.28544772985383e-15,"SVIL"
"ENSG00000146592",694.975972522806,-2.0498113100369,0.241239022545697,-8.4970138263954,1.94530272746703e-17,3.59287924481564e-15,"CREB5"
"ENSG00000099860",373.609719689536,1.41592439839579,0.167704259704207,8.44298410125757,3.09337190021083e-17,5.64447197936061e-15,"GADD45B"
"ENSG00000128311",323.623146252674,1.34158940745348,0.159010398546742,8.43711744461233,3.25259594982826e-17,5.86435305477964e-15,"TST"
"ENSG00000134253",144.951068185965,-1.98700571939163,0.235867466692688,-8.42424666382878,3.63078666582418e-17,6.46920753575379e-15,"TRIM45"
"ENSG00000253368",1051.87338068471,1.99298365819332,0.236818150278591,8.41567107862632,3.90652019673475e-17,6.8795637650637e-15,"TRNP1"
"ENSG00000134243",5569.87422804189,2.21273109333576,0.263715448078885,8.39060096575711,4.83663351848941e-17,8.41963386638186e-15,"SORT1"
"ENSG00000162616",1478.62500195149,1.36934250607851,0.163262423330717,8.38737094637304,4.97134439670621e-17,8.55579669183132e-15,"DNAJB4"
"ENSG00000150907",688.476650962791,2.30496442388122,0.27635095039428,8.34071466225334,7.3842882440139e-17,1.25657354444484e-14,"FOXO1"
"ENSG00000167549",2012.78985108593,2.38044046101997,0.287112193349437,8.290976545614,1.12322434070774e-16,1.89013696000208e-14,"CORO6"
"ENSG00000137076",20054.8384767669,0.638116630872097,0.0770161139830293,8.28549504604592,1.17618806797515e-16,1.95751299884435e-14,"TLN1"
"ENSG00000132970",1317.16857123589,1.08140845100658,0.130730540411014,8.27204146488381,1.316844862074e-16,2.16778428653377e-14,"WASF3"
"ENSG00000133142",3090.51775861329,1.47987220298306,0.179407703343087,8.24865474228301,1.60187498450205e-16,2.60864480003049e-14,"TCEAL4"
"ENSG00000148120",677.473392933758,1.2376374870348,0.150979302547632,8.19739835958204,2.4564535184818e-16,3.91610405656914e-14,"C9orf3"
"ENSG00000163491",152.333491281033,-2.07305359103875,0.252883641350437,-8.19765794247634,2.45115643046489e-16,3.91610405656914e-14,"NEK10"
"ENSG00000183722",3035.76768508864,0.709162956566951,0.0867529407819207,8.17451201279323,2.97065731264786e-16,4.68652135417207e-14,"LHFPL6"
"ENSG00000103064",1735.71982860339,1.37532680433612,0.16876928753862,8.14915334652576,3.66480987701899e-16,5.72201500901574e-14,"SLC7A6"
"ENSG00000162704",2647.51641081926,0.896589539873542,0.110466446873077,8.11639701694849,4.80227870655027e-16,7.36550553097655e-14,"ARPC5"
"ENSG00000179593",68.3800745222305,8.90550233947416,1.09726597228736,8.11608357899749,4.81469163134155e-16,7.36550553097655e-14,"ALOX15B"
"ENSG00000143891",522.025378125847,-1.13399619834378,0.140282451963786,-8.08366393992397,6.28493715538043e-16,9.51853732182366e-14,"GALM"
"ENSG00000163110",1307.00957672327,1.48535581378263,0.184070106223572,8.06951136312439,7.05800652917098e-16,1.05835157311183e-13,"PDLIM5"
"ENSG00000102804",5382.05257204899,1.15093410882361,0.142663239291309,8.06748896590999,7.17586884809872e-16,1.06547582063191e-13,"TSC22D1"
"ENSG00000127824",250.256189339771,-1.69363993720829,0.210245004365539,-8.05555376841995,7.9119779376277e-16,1.1633680181104e-13,"TUBA4A"
"ENSG00000125503",2642.92992334253,0.6799743299046,0.0848746793235255,8.01150985575654,1.13308652782223e-15,1.65005725614112e-13,"PPP1R12C"
"ENSG00000138078",1711.69454421181,-0.721079630640062,0.0901097543810845,-8.00223722273766,1.22178712007376e-15,1.76228246985877e-13,"PREPL"
"ENSG00000101342",53.7031368272962,4.13426779244229,0.517090844348376,7.99524462215567,1.29316854703244e-15,1.84764506083078e-13,"TLDC2"
"ENSG00000112576",646.673183511032,1.08122142303048,0.13530200828576,7.99117054306336,1.33663500411024e-15,1.89190066703267e-13,"CCND3"
"ENSG00000104756",1773.42785790779,0.750040278372759,0.0939288834762185,7.98519316545117,1.40302429919246e-15,1.96748176030275e-13,"KCTD9"
"ENSG00000105516",103.555045793919,-1.6332025615575,0.205103830971798,-7.96280866046852,1.6817742073811e-15,2.33674040098962e-13,"DBP"
"ENSG00000198431",22550.132525209,1.47807414050153,0.186257459651699,7.93565070234249,2.09394561229903e-15,2.8829823907517e-13,"TXNRD1"
"ENSG00000118689",5353.974568445,1.27540191485898,0.160751402189073,7.93400180334894,2.1219501349044e-15,2.89521935073218e-13,"FOXO3"
"ENSG00000130066",4094.02815137334,1.31953749489707,0.166821439920945,7.90987954259586,2.57638061595953e-15,3.45303402023956e-13,"SAT1"
"ENSG00000149218",2046.64979798996,1.97365489503279,0.249509172503765,7.91014965593304,2.57079661181089e-15,3.45303402023956e-13,"ENDOD1"
"ENSG00000138316",788.996860846473,-2.41081460770065,0.305191599723838,-7.89934785191383,2.80366435520842e-15,3.72469268944136e-13,"ADAMTS14"
